course_id,title
POLI 281,International Relations (w/ writing focus)
POLI 301,Research Methods in Political Science
POLI 309,Selected Topics in Political Science
POLI 319,Selected Topics in Political Philosophy
POLI 320,American Political Thought
POLI 323,The Presidency
POLI 327,Interest Groups and Lobbyists
POLI 337,Comparative Justice
POLI 338,"Women, Gender, and Law"
POLI 350,The Policy-Making Process
POLI 352,Administrative Law
POLI 353,Governmental Budgeting and Financial Administration
POLI 360,Comparative Political Analysis
POLI 361,Comparative Political Analysis
POLI 377,Latin American Politics
POLI 379,War and Film
POLI 380,International Relations Theory
POLI 384L,Model United Nations
POLI 390,American Foreign Policy
POLI 409,Selected Topics in Political Science
POLI 429,Selected Topics in American Government and Politics
POLI 432,Civil Rights
POLI 438,Legal Internship
POLI 439,Selected Topics in Public Law
POLI 445,"Law, Politics and American Educational Policy"
POLI 448,"Internship in Policy, Politics, and Administration"
POLI 450,Public Management & Public Policy: Pursuing Excellence in Public Service
POLI 469,Selected Topics in Comparative Politics
POLI 470,Politics of Human Rights
POLI 474,Democratization
POLI 485,Dynamics of the Arab-Israeli Conflict
POLI 486,Middle East International Relations.
POLI 488,Politics and International Relations of South Asia
POLI 489,Selected Topics in International Relations
PSYC 100,Introduction to Psychology
PSYC 100H,Introduction to Psychology - Honors
PSYC 200,Child Developmental Psychology
PSYC 210,Psychology of Learning
PSYC 211,The Science and Profession of Psychology
PSYC 216,Foundations of Leadership Development
PSYC 230,Psychology and Culture
PSYC 285,Abnormal Psychology
PSYC 304,Adolescent Psychology
PSYC 305,The Exceptional Child
PSYC 306,Lifespan Human Development
PSYC 307,Psychology of Aging
PSYC 308,Child Maltreatment
PSYC 309,Psychology: Exploring the Discipline and Careers
PSYC 311,Research Methods in Psychology I
PSYC 312,Research Methods in Psychology II
PSYC 316,Language and Thought
PSYC 320,Psychological Assessment
PSYC 324,Introduction to Interviewing Techniques
PSYC 330,Child Development and Culture
PSYC 335,Physiological Psychology
PSYC 340,Social Psychology
PSYC 342,The Psychology of Aggression and Antisocial Behavior
PSYC 345,Introduction to Clinical Psychology and Psychotherapy
PSYC 346,Industrial/Organizational Psychology
PSYC 353,Morality and Psychology
PSYC 357,Psychology of Women
PSYC 360,Psychology of Motivation
PSYC 365,Children with Disabilities
PSYC 370,Sensation and Perception
PSYC 375,Neuroanatomy
PSYC 380,Personality
PSYC 382,Child and Adolescent Psychopathology
PSYC 385,Health Psychology
PSYC 387,Community Psychology
PSYC 400,Seminar in Developmental Psychology
PSYC 406,Advanced Behavior Pathology
PSYC 411,Applied Behavior Analysis
PSYC 415,Seminar in Cognitive Psychology
PSYC 421,Parenting
PSYC 444,Psychology of Sexual Orientation & Gender Identity
PSYC 455,Schizophrenia
PSYC 465,Family Psychology
PSYC 493,Advanced Topics in Psychology
PUB 150H,Public Affairs Scholars Seminar
RLST 202,Judaism in the Time of Jesus and Hillel
RLST 314,Islam in Africa
RLST 463,"Jews, Christians and Muslims in the Middle Ages"
RUSS 102,Basic Russian II
RUSS 202,Continuing Russian I
RUSS 300,Special Projects in Russian Language
RUSS 302,Continuing Russian III
RUSS 304,Intermediate Russian Conversation II
RUSS 321,The Russians' World - I
RUSS 415,Political Russian
SCI 100,Water; An Interdisciplinary Study (MS)
SCI 101L,Quantitative Reasoning: Measurement and Skills Lab
SOCY 101,Basic Concepts in Sociology
SOCY 101Y,Basic Concepts in Sociology
SOCY 201,Social Problems in American Society
SOCY 204,Diversity and Pluralism: An Interdisciplinary Perspective
SOCY 300,Methodology of Social Research
SOCY 301,Analysis of Sociological Data
SOCY 310,Social Stratification and Inequality
SOCY 321,Race and Ethnic Relations
SOCY 333,Human Sexuality in Cross-Cultural Perspective
SOCY 351,Medical Sociology
SOCY 352,Issues in Health Care
SOCY 353,Marriage and the Family
SOCY 354,Social Bases of Public and Community Health
SOCY 359,Death and Dying
SOCY 372,Juvenile Delinquency
SOCY 374,Drugs and Alcohol in Society
SOCY 396,Community Service and Learning Internship
SOCY 409,Sociological Theory
SOCY 415,Higher Education and Social Inequality
SOCY 418,SAS for Social Scientists
SOCY 433,"Gender, Work, and Family in Cross-Cultural Perspective"
SOCY 452,Health Care Organization and Delivery
SOCY 458,Sociology of Mental Health and Illness
SOWK 240,Information Technology in Social Work
SOWK 260,"Social Welfare, Social Policy, and Social Work I"
SOWK 360,"Social Welfare, Social Policy, and Social Work II"
SOWK 370,Social Work and the Criminal Justice System
SOWK 372,Social Work and Health Care
SOWK 374,Social Work with Immigrants and Refugees
SOWK 387,"Policies, Programs, and Services for Children"
SOWK 388,Human Behavior and the Social Environment
SOWK 389,Human Behavior II
SOWK 397,Social Work Methods I: Introduction to Practice
SOWK 470,Social Work Research
SOWK 482,Field Instruction II
SOWK 483,"Social Work Methods III: Selected Intervention Strategies, Research, and Evaluation"
SPAN 101,Elementary Spanish I
SPAN 102,Elementary Spanish II
SPAN 103,Intensive Review of Elementary Spanish
SPAN 201,Intermediate Spanish I
SPAN 202,Intermediate Spanish II
SPAN 301,Advanced Spanish I
SPAN 302,Advanced Spanish II
SPAN 304,Spanish for Heritage Spanish Speakers I
SPAN 307,España y sus Culturas I
SPAN 308,Latinoamérica y sus Culturas I
SPAN 311,España y sus culturas II
SPAN 401,Studies in Spanish Language
SPAN 421,Studies in Hispanic Literature
SPAN 472,Topics in Latin American Society
SPCH 100,Public Communication
SPCH 210,Interpersonal Communication
STAT 121,Introduction to Statistics for the Social Sciences
STAT 350,Statistics with Applications in the Biological Sciences
STAT 351,Applied Statistics for Business and Economics
STAT 355,Introduction to Probability and Statistics for Scientists and Engineers
STAT 365,Financial Mathematics for Actuaries
STAT 405,Survey Sampling
STAT 414,Environmental Statistics
STAT 453,Introduction to Mathematical Statistics
STAT 470,Probability for Actuarial Science
THTR 100,Introduction to Theatre Scenography
THTR 104,Introduction to Costume
THTR 110,Introduction to Acting
THTR 202,Introduction to Dramatic Literature
THTR 221,Craft of Acting II
THTR 222,Vocal Training for the Actor I
THTR 231,Drafting for the Theatre
THTR 233,Costume Design
THTR 234,Make-up for the Stage
THTR 237,Sound Design
THTR 239,Movement II: Alexander Technique
THTR 244,Script Analysis
THTR 263,Theatre Production: Costumes
THTR 264,Theatre Production: Scenery
THTR 325,Vocal Training for the Actor III
THTR 335,Advanced Lighting Design
THTR 347,Character and Scene Study I
THTR 371,Playwriting
THTR 390,Theatre in Production
THTR 411,Modern Theatre: History and Practice
THTR 432,Design Seminar
THTR 434,Patterning and Draping
THTR 470,Drama Seminar
TRS 201,Transfer Student Seminar
VPA 225,Ideas in the Arts
WOL 102,Elementary Wolof II
